vessel_name	vessel_service	vessel_class	vessel_type	vessel_subtype	flag_desc	vessel_activity_role_desc	waterway_name	substance_name	substance_class	substance_subclass	substance_type	substance_subtype	latitude	longitude	discharge_amnt_total	discharge_situation_type	unit_of_measure
PRIDE UTAH	Mobile Offshore Drilling Unit	Offshore	MODU	General	PANAMA	Acknowledged Pollution Source	Gulf Of Mexico	"Other oil, oil with no CHRIS Code"	OIL	Petroleum	"Other oil, oil with no CHRIS Code"		27.5668055	-92.40011117	30	Point-source one-time discharge	GALLONS (Liquids Only)
SAND SHARK	Recreational	Recreational	General	General	UNITED STATES	Acknowledged Pollution Source	COOPER RIVER	Oil: Diesel	OIL	Petroleum	Oil	Diesel	32.788781	-79.921595	30	Point-source one-time discharge	GALLONS (Liquids Only)
PACIFIC KNIGHT	Commercial Fishing Vessel	Fishing Vessel	Fish Catching Vessel	General	UNITED STATES	Acknowledged Pollution Source	Dutch Harbor	Hydraulic fluid or oil	OIL	Petroleum	Hydraulic fluid or oil		53.9	-166.5333333	30	Point-source discharge over a period of time	GALLONS (Liquids Only)
EDITH H. GRAYCE	Commercial Fishing Vessel	Fishing Vessel	Fish Catching Vessel	General	UNITED STATES	Acknowledged Pollution Source	TONGASS NARROWS	"Oil, fuel: No. 1"	OIL	Petroleum	"Oil, fuel"	No. 1	50.33833333	-131.645	30	Point-source one-time discharge	GALLONS (Liquids Only)
DUCHESS OF ARGYLE	Recreational	Recreational	Sailing Vessels	Sloop	UNITED STATES	Acknowledged Pollution Source	NEWPORT HARBOR	Oil: Diesel	OIL	Petroleum	Oil	Diesel	41.48813	-71.32619	30	Point-source discharge over a period of time	GALLONS (Liquids Only)
AUKAKA	Commercial Fishing Vessel	Fishing Vessel	Fish Catching Vessel	General	UNITED STATES	Acknowledged Pollution Source	KAWAIHAE HARBOR	Oil: Diesel	OIL	Petroleum	Oil	Diesel	20.03778	-155.8333	30	Point-source one-time discharge	GALLONS (Liquids Only)
CF0074AV	Commercial Fishing Vessel	Fishing Vessel	Fish Catching Vessel	Whaler	UNITED STATES	Acknowledged Pollution Source	PACIFIC DEEP WATER SPINE	Oil: Diesel	OIL	Petroleum	Oil	Diesel	10.38333333	-89.05	30	Point-source discharge over a period of time	GALLONS (Liquids Only)
SEA BROOKE	Offshore Supply Vessel	Offshore	Offshore Supply Vessel	General	UNITED STATES	Acknowledged Pollution Source	BAYOU LAFOURCHE	Oil: Diesel	OIL	Petroleum	Oil	Diesel	29.16017	-90.23445	30	Point-source one-time discharge	GALLONS (Liquids Only)
SEA SWALLOW	Recreational	Recreational	Motor Propelled Vessels	Cabin Cruiser	UNITED STATES	Acknowledged Pollution Source	SITKA HARBOR	Gasoline: Automotive (Unleaded)	OIL	Petroleum	Gasoline	Automotive (Unleaded)	57.04639	-135.3386	30	Point-source discharge over a period of time	GALLONS (Liquids Only)
BROWN WATER II	Towing Vessel	Towing Vessel	General	General	UNITED STATES	Acknowledged Pollution Source	CC CONN BROWN HARBOR	Oil: Diesel	OIL	Petroleum	Oil	Diesel	27.89795	-97.1377	30	Point-source one-time discharge	GALLONS (Liquids Only)
LIL RICHARD	UNSPECIFIED	UNSPECIFIED	UNSPECIFIED	UNSPECIFIED	UNITED STATES	Acknowledged Pollution Source	APALACHICOLA BAY	Oil: Diesel	OIL	Petroleum	Oil	Diesel	29.73451667	-85.98333333	30	Point-source discharge over a period of time	GALLONS (Liquids Only)
ATLAS I	Towing Vessel	Towing Vessel	General	General	UNITED STATES	Suspected Pollution Source	SACRAMENTO RIVER SHIP CHANNEL	"Oil, fuel: No. 2-D"	OIL	Petroleum	"Oil, fuel"	No. 2-D	38.5607	-121.5169	30	Point-source one-time discharge	GALLONS (Liquids Only)
STAR	Recreational	Recreational	Motor Propelled Vessels	General	UNITED STATES	Acknowledged Pollution Source	ATLANTIC INTRACOASTAL WATERWAY	Oil: Diesel	OIL	Petroleum	Oil	Diesel	26.10959	-80.12006	30	Point-source discharge over a period of time	GALLONS (Liquids Only)
MS OLIVIA	Industrial Vessel	Miscellaneous Vessel	Work Platform	General	UNITED STATES	Acknowledged Pollution Source	ARANSAS BAY	Hydraulic fluid or oil	OIL	Petroleum	Hydraulic fluid or oil		27.98333333	-97.05166667	30	Point-source discharge over a period of time	GALLONS (Liquids Only)
CHERAMIE BOTRUC NO. 20	Offshore Supply Vessel	Offshore	Offshore Supply Vessel	General	UNITED STATES	Acknowledged Pollution Source	BAYOU LAFOURCHE	Oil: Diesel	OIL	Petroleum	Oil	Diesel	29.16017	-90.23445	30	Point-source one-time discharge	GALLONS (Liquids Only)
SEA COUCH	Recreational	Recreational	Motor Propelled Vessels	"Yacht, Trawler Type"	UNITED STATES	Acknowledged Pollution Source	PORT GARDNER	Gasoline: Automotive (Unleaded)	OIL	Petroleum	Gasoline	Automotive (Unleaded)	47.98476	-122.2294	30	Point-source one-time discharge	GALLONS (Liquids Only)
DIVERSION	Recreational	Recreational	Motor Propelled Vessels	General	UNITED STATES	Acknowledged Pollution Source	Winchester Bay	Oil: Diesel	OIL	Petroleum	Oil	Diesel	43.18333333	-124.0941667	30	Point-source one-time discharge	GALLONS (Liquids Only)
ROCKY TOP	Commercial Fishing Vessel	Fishing Vessel	Fish Catching Vessel	General	UNITED STATES	Acknowledged Pollution Source	SHALLOTTE RIVER	Oil: Diesel	OIL	Petroleum	Oil	Diesel	33.97278	-78.38222	30	Point-source one-time discharge	GALLONS (Liquids Only)
SUNSHINE TOO	Recreational	Recreational	Motor Propelled Vessels	General	UNITED STATES	Suspected Pollution Source	ATLANTIC INTRACOASTAL WATERWAY	Gasoline: Automotive (Unleaded)	OIL	Petroleum	Gasoline	Automotive (Unleaded)	30.38789	-81.46623	30	Point-source one-time discharge	GALLONS (Liquids Only)
WALTON	Recreational	Recreational	Motor Propelled Vessels	Houseboat	UNITED STATES	Acknowledged Pollution Source	DELAWARE RIVER	Oil: Diesel	OIL	Petroleum	Oil	Diesel	40.21554	-74.77286	30	Point-source discharge over a period of time	GALLONS (Liquids Only)
GERONIMO	Towing Vessel	Towing Vessel	General	General	UNITED STATES	Acknowledged Pollution Source	SEAPLANE HARBOR	"Paint, epoxy resin"	CHEMICAL	Chemical	P	"Paint, epoxy resin"	37.63411	-122.3883	30	Point-source discharge over a period of time	GALLONS (Liquids Only)
AMERICAN 21	Tank Barge	Barge	Bulk Liquid Cargo (Tank) Barge	General	UNITED STATES	Suspected Pollution Source	UPPER NEW YORK HARBOR	"Oil, fuel: No. 2-D"	OIL	Petroleum	"Oil, fuel"	No. 2-D	40.69495	-74.02753	30	Point-source one-time discharge	GALLONS (Liquids Only)
BLOODY DECKS	Recreational	Recreational	Motor Propelled Vessels	General	UNITED STATES	Acknowledged Pollution Source	SAN DIEGO HARBOR	Gasoline: Aromatic	OIL	Petroleum	Gasoline	Aromatic	32.70821	-117.1784	30	Point-source one-time discharge	GALLONS (Liquids Only)
LAST PAKA	Recreational	Recreational	Motor Propelled Vessels	Cabin Cruiser	UNITED STATES	Acknowledged Pollution Source	CC ARANSAS BAY	Gasoline: Automotive (Unleaded)	OIL	Petroleum	Gasoline	Automotive (Unleaded)	28.00058333	-97.00015	30	Point-source one-time discharge	GALLONS (Liquids Only)
H J DUPRE	Towing Vessel	Towing Vessel	General	General	UNITED STATES	Acknowledged Pollution Source	CC CORPUS CHRISTI BAY	Oil: Diesel	OIL	Petroleum	Oil	Diesel	27.81416667	-97.395	30	Point-source one-time discharge	GALLONS (Liquids Only)
LYTAL TEAM	Offshore Supply Vessel	Offshore	Offshore Supply Vessel	General	UNITED STATES	Acknowledged Pollution Source	BAYOU LAFOURCHE	"Oil, fuel: No. 2-D"	OIL	Petroleum	"Oil, fuel"	No. 2-D	29.16017	-90.23445	30	Point-source one-time discharge	GALLONS (Liquids Only)
OCEAN PHOENIX	Industrial Vessel	Fishing Vessel	Fishing Support Vessel	Fish Factory Ship	UNITED STATES	Suspected Pollution Source	BERING SEA	Hydraulic fluid or oil	OIL	Petroleum	Hydraulic fluid or oil		59.145	-174.21	30	Point-source one-time discharge	GALLONS (Liquids Only)
ILL WATER	UNSPECIFIED	UNSPECIFIED	UNSPECIFIED	UNSPECIFIED	UNITED STATES	Acknowledged Pollution Source	Table Rock Lake	Gasoline: Automotive (4.23g Pb/gal)	OIL	Petroleum	Gasoline	Automotive (4.23g Pb/gal)	36.56123	-93.60119	30	Point-source discharge over a period of time	GALLONS (Liquids Only)
ROYAL DOLPHIN	Recreational	Recreational	Motor Propelled Vessels	Cabin Cruiser	CAYMAN ISLANDS	Acknowledged Pollution Source	SAN DIEGO HARBOR	Oil: Diesel	OIL	Petroleum	Oil	Diesel	32.70821	-117.1784	30	Point-source one-time discharge	GALLONS (Liquids Only)
WN5031RL	Recreational	Recreational	Motor Propelled Vessels	Cabin Cruiser	UNITED STATES	Acknowledged Pollution Source	LAKE WASHINGTON SHIP CANAL	Gasoline: Automotive (4.23g Pb/gal)	OIL	Petroleum	Gasoline	Automotive (4.23g Pb/gal)	47.678147	-122.416859	30	Point-source one-time discharge	GALLONS (Liquids Only)
KYMA	Recreational	Recreational	General	General	UNITED STATES	Acknowledged Pollution Source	ACUSHNET RIVER	Oil: Diesel	OIL	Petroleum	Oil	Diesel	41.63641	-70.91624	30	Point-source discharge over a period of time	GALLONS (Liquids Only)
HORIZON PRODUCER	Freight Ship	General Dry Cargo Ship	Container Ship	General Cargo/Container	UNITED STATES	Involved in a Marine Casualty		Not elsewhere specified	OTHER	Not Elsewhere Specified		Not elsewhere specified	21.13333333	-66.96666667	30	Point-source discharge over a period of time	GALLONS (Liquids Only)
BOURBON	Offshore Supply Vessel	Offshore	Offshore Supply Vessel	General	UNITED STATES	Suspected Pollution Source	Mississippi River-Gulf Outlet	Oil: Diesel	OIL	Petroleum	Oil	Diesel	29.37106	-89.20177	30	Point-source one-time discharge	GALLONS (Liquids Only)
MAR DEL SUD	Commercial Fishing Vessel	Fishing Vessel	Fish Catching Vessel	Longliner	UNITED STATES	Acknowledged Pollution Source	ST. PAUL HARBOR	"Bilge slops (Examples: bilge oil, bilge waste, bilge water, bilge waste oil, bilge slop oil, etc.)"	OIL	Petroleum	Bilge slops (Examples	"bilge oil, bilge waste, bilge water, bilge waste oil, bilge slop oil, etc.)"	57.79361	-152.4058	30	Point-source one-time discharge	GALLONS (Liquids Only)
MEGAN LYNN	Commercial Fishing Vessel	Fishing Vessel	Fish Catching Vessel	General	UNITED STATES	Acknowledged Pollution Source	LAKE HURON	Gasoline: Automotive (Unleaded)	OIL	Petroleum	Gasoline	Automotive (Unleaded)	45.707914	-84.315975	30	Point-source discharge over a period of time	GALLONS (Liquids Only)
CORTES I	Freight Ship	General Dry Cargo Ship	General	General	HONDURAS	Suspected Pollution Source	BAYOU LA BATRE	Oil: Diesel	OIL	Petroleum	Oil	Diesel	30.40572	-88.24692	30	Point-source one-time discharge	GALLONS (Liquids Only)
MAR DEL SUD	Commercial Fishing Vessel	Fishing Vessel	Fish Catching Vessel	Longliner	UNITED STATES	Acknowledged Pollution Source	ST. PAUL HARBOR	Hydraulic fluid or oil	OIL	Petroleum	Hydraulic fluid or oil		57.78533333	-152.4166667	30	Point-source one-time discharge	GALLONS (Liquids Only)
GREEN WAVE	Towing Vessel	Towing Vessel	General	General	UNITED STATES	Acknowledged Pollution Source	Gulf Intracoastal Waterway	"Oil, fuel: No. 2-D"	OIL	Petroleum	"Oil, fuel"	No. 2-D	30.22166667	-89.05	30	Point-source one-time discharge	GALLONS (Liquids Only)
NO NAME	Recreational	Recreational	Motor Propelled Vessels	Low-Profile Vessel	UNITED STATES	Acknowledged Pollution Source	COLUMBIA RIVER	Gasoline: Automotive (Unleaded)	OIL	Petroleum	Gasoline	Automotive (Unleaded)	45.59941	-122.603035	30	Point-source one-time discharge	GALLONS (Liquids Only)
STEPHAN M. ASHER	Towing Vessel	Towing Vessel	General	General	UNITED STATES	Acknowledged Pollution Source	STURGEON BAY	Oil: Diesel	OIL	Petroleum	Oil	Diesel	44.76425	-87.30006	30	Point-source one-time discharge	GALLONS (Liquids Only)
UNKNOWN VESSEL	Unclassified	Miscellaneous Vessel	General	General	UNITED STATES	Acknowledged Pollution Source	PATAPSCO RIVER	"Oil, fuel: No. 2-D"	OIL	Petroleum	"Oil, fuel"	No. 2-D	39.24194	-76.55449	30	Point-source discharge over a period of time	GALLONS (Liquids Only)
KITTY W	Towing Vessel	Towing Vessel	General	General	UNITED STATES	Acknowledged Pollution Source	GULF INTRACOASTAL WATERWAY	Oil: Diesel	OIL	Petroleum	Oil	Diesel	30.28107	-88.96451	30	Point-source one-time discharge	GALLONS (Liquids Only)
MID-RIVER IV	Unclassified	Miscellaneous Vessel	General	General	UNITED STATES	Acknowledged Pollution Source	Breton Sound	Oil: Diesel	OIL	Petroleum	Oil	Diesel	29.39751	-89.2997	30	Point-source one-time discharge	GALLONS (Liquids Only)
MILLIE B	Commercial Fishing Vessel	Fishing Vessel	Fish Catching Vessel	General	UNITED STATES	Involved in a Marine Casualty	CLARENCE STRAIT	Oil: Diesel	OIL	Petroleum	Oil	Diesel	55.05167	-131.82	30	Point-source one-time discharge	GALLONS (Liquids Only)
BEAN 10	Industrial Vessel	Barge	Cutter/Dredger Barge	General	UNITED STATES	Acknowledged Pollution Source	GULF INTRACOASTAL WATERWAY	"Other oil, oil with no CHRIS Code"	OIL	Petroleum	"Other oil, oil with no CHRIS Code"		29.598597	-90.710165	30	Point-source one-time discharge	GALLONS (Liquids Only)
JUBILEE	Recreational	Recreational	Motor Propelled Vessels	Cabin Cruiser	UNITED STATES	Acknowledged Pollution Source	STEPHENS PASSAGE	Oil: Diesel	OIL	Petroleum	Oil	Diesel	58.55016333	-135.0275967	30	Point-source discharge over a period of time	GALLONS (Liquids Only)
MYSTIC EAGLE	Recreational	Recreational	General	General	UNITED STATES	Acknowledged Pollution Source	LAKE WASHINGTON SHIP CANAL	Oil: Diesel	OIL	Petroleum	Oil	Diesel	47.66472667	-122.3946367	30	Point-source one-time discharge	GALLONS (Liquids Only)
Unnamed Barge	Tank Barge	Barge	Bulk Liquid Cargo (Tank) Barge	Oil Cargo Barge	UNITED STATES	Suspected Pollution Source	VERDIGRIS RIVER	Oil: Diesel	OIL	Petroleum	Oil	Diesel	36.45373	-95.63861	30	Point-source one-time discharge	GALLONS (Liquids Only)
SARATOGA	Recreational	Recreational	General	General	UNITED STATES	Acknowledged Pollution Source	ATLANTIC INTRACOASTAL WATERWAY	Oil: Diesel	OIL	Petroleum	Oil	Diesel	27.46017	-80.31981	30	Point-source discharge over a period of time	GALLONS (Liquids Only)
HMCS PROTECTEUR	Freight Ship	General Dry Cargo Ship	General	General	CANADA	Acknowledged Pollution Source	SINCLAIR INLET	Oil: Diesel	OIL	Petroleum	Oil	Diesel	47.54173	-122.6431	30	Point-source one-time discharge	GALLONS (Liquids Only)
ARCTIC WOLF	Industrial Vessel	General Dry Cargo Ship	General	General	UNITED STATES	Acknowledged Pollution Source	KACHEMAK BAY	Oil: Diesel	OIL	Petroleum	Oil	Diesel	59.63251	-151.5328	30	Point-source one-time discharge	GALLONS (Liquids Only)
TOP NOTCH	Freight Ship	General Dry Cargo Ship	General	General	UNITED STATES	Acknowledged Pollution Source	DIXON ENTRANCE	Hydraulic fluid or oil	OIL	Petroleum	Hydraulic fluid or oil		54.70166667	-132.0966667	30	Point-source discharge over a period of time	GALLONS (Liquids Only)
TAURACAVOR	Industrial Vessel	Barge	Cutter/Dredger Barge	General	UNITED STATES	Acknowledged Pollution Source	KILL VAN KULL	"Oil, misc: Lubricating"	OIL	Petroleum	"Oil, misc"	Lubricating	40.6429	-74.12755	30	Point-source one-time discharge	GALLONS (Liquids Only)
MISS GILL	Towing Vessel	Towing Vessel	General	General	UNITED STATES	Acknowledged Pollution Source	"ELIZABETH RIVER, SOUTHERN BRANCH"	Oil: Diesel	OIL	Petroleum	Oil	Diesel	36.753798	-76.294865	30	Point-source one-time discharge	GALLONS (Liquids Only)
MUSSEL	Commercial Fishing Vessel	Fishing Vessel	Fish Catching Vessel	General	UNITED STATES	Involved in a Marine Casualty		Oil: Diesel	OIL	Petroleum	Oil	Diesel	44.15485	-68.65958	30	Point-source discharge over a period of time	GALLONS (Liquids Only)
RAMONA ANN	Unclassified	Miscellaneous Vessel	General	General	UNITED STATES	Acknowledged Pollution Source	EXT HOUMA NAVIGATION CANAL	Oil: Diesel	OIL	Petroleum	Oil	Diesel	29.18338	-90.60892	30	Point-source one-time discharge	GALLONS (Liquids Only)
MMI 3027	Tank Barge	Barge	Bulk Liquid Cargo (Tank) Barge	General	UNITED STATES	Cargo Recipient	MISSISSIPPI RIVER	"Other oil, oil with no CHRIS Code"	OIL	Petroleum	"Other oil, oil with no CHRIS Code"		30.29452	-91.23088833	30	Point-source one-time discharge	GALLONS (Liquids Only)
WATERS	Research Vessel	Fishing Vessel	Fish Catching Vessel	General	UNITED STATES	Acknowledged Pollution Source	KACHEMAK BAY	Oil: Diesel	OIL	Petroleum	Oil	Diesel	59.63251	-151.5328	30	Non-point-source (diffuse) discharge	GALLONS (Liquids Only)
ARTHUR	Towing Vessel	Towing Vessel	General	General	UNSPECIFIED	Suspected Pollution Source	BAYOU CASOTTE	Oil: Diesel	OIL	Petroleum	Oil	Diesel	30.35602783	-88.50625833	30	Point-source one-time discharge	GALLONS (Liquids Only)
TAM LE	Commercial Fishing Vessel	Fishing Vessel	Fish Catching Vessel	General	UNITED STATES	Acknowledged Pollution Source	MOSS LANDING HARBOR	Oil: Diesel	OIL	Petroleum	Oil	Diesel	36.80164	-121.7901	30	Point-source discharge over a period of time	GALLONS (Liquids Only)
NATALIE ALEXANDER	Towing Vessel	Towing Vessel	General	General	UNITED STATES	Acknowledged Pollution Source	CC CORPUS CHRISTI BAY	Oil: Diesel	OIL	Petroleum	Oil	Diesel	27.81416667	-97.395	30	Point-source one-time discharge	GALLONS (Liquids Only)
CROSBY FAITH	Towing Vessel	Towing Vessel	General	General	UNITED STATES	Suspected Pollution Source	BAYOU CASOTTE	Oil: Diesel	OIL	Petroleum	Oil	Diesel	30.35602783	-88.50625833	30	Point-source one-time discharge	GALLONS (Liquids Only)
SAM M FLEMING	Towing Vessel	Towing Vessel	General	General	UNITED STATES	Involved in a Marine Casualty		Oil: Diesel	OIL	Petroleum	Oil	Diesel	40.64997	-80.38625	30	Point-source one-time discharge	GALLONS (Liquids Only)
MIST COVE	Passenger (Inspected)	Passenger Ship	General	"General (More Than 6, Gross Tonnage < 100)"	UNITED STATES	Acknowledged Pollution Source	LAKE WASHINGTON SHIP CANAL	Oil: Diesel	OIL	Petroleum	Oil	Diesel	47.66472667	-122.3946367	30	Point-source one-time discharge	GALLONS (Liquids Only)
EQUALIZER	Commercial Fishing Vessel	Fishing Vessel	Fish Catching Vessel	Shrimper	UNITED STATES	Suspected Pollution Source	SAN CARLOS BAY	"Bilge slops (Examples: bilge oil, bilge waste, bilge water, bilge waste oil, bilge slop oil, etc.)"	OIL	Petroleum	Bilge slops (Examples	"bilge oil, bilge waste, bilge water, bilge waste oil, bilge slop oil, etc.)"	26.43941	-81.97034	30	Point-source one-time discharge	GALLONS (Liquids Only)
CMA CGM SAPPHIRE	Freight Ship	General Dry Cargo Ship	Container Ship	General	LIBERIA	Suspected Pollution Source	BAYPORT CHANNEL	"Other oil, oil with no CHRIS Code"	OIL	Petroleum	"Other oil, oil with no CHRIS Code"		29.6143	-94.95534	30	Point-source one-time discharge	GALLONS (Liquids Only)
CLYDE BUTCHER	Towing Vessel	Towing Vessel	General	General	UNITED STATES	Acknowledged Pollution Source	OHIO RIVER	Oil: Diesel	OIL	Petroleum	Oil	Diesel	40.64983667	-80.38356667	30	Point-source one-time discharge	GALLONS (Liquids Only)
MOBILIAN	Towing Vessel	Towing Vessel	Pushing Ahead (Towboat)	General	UNITED STATES	Suspected Pollution Source	MOBILE RIVER	Oil: Diesel	OIL	Petroleum	Oil	Diesel	30.73645167	-88.04230333	30	Point-source one-time discharge	GALLONS (Liquids Only)
ALABAMA	Towing Vessel	Towing Vessel	General	General	UNITED STATES	Acknowledged Pollution Source	MOBILE RIVER	Oil: Diesel	OIL	Petroleum	Oil	Diesel	30.72527	-88.04113	30	Point-source one-time discharge	GALLONS (Liquids Only)
FL0819GF	Recreational	Recreational	Motor Propelled Vessels	Cabin Cruiser	UNITED STATES	Acknowledged Pollution Source	TAMPA BAY	"Wood chips, Wood pulp pellets"	CHEMICAL	Chemical	W	"Wood chips, Wood pulp pellets"	27.60916667	-82.722	30	Point-source one-time discharge	POUNDS (Solids Only)
C TRUC NO 8	Offshore Supply Vessel	Offshore	Offshore Supply Vessel	General	UNITED STATES	Acknowledged Pollution Source	Breton Sound	Oil: Crude	OIL	Petroleum	Oil	Crude	29.5175	-89.29786	30	Point-source one-time discharge	GALLONS (Liquids Only)
FOREVER SUMMER	Recreational	Recreational	Motor Propelled Vessels	General	UNITED STATES	Suspected Pollution Source	GREAT HARBOR	Oil: Diesel	OIL	Petroleum	Oil	Diesel	41.51988	-70.67986	30	Point-source one-time discharge	GALLONS (Liquids Only)
OH3167YZ	Recreational	Recreational	Motor Propelled Vessels	Runabout	UNITED STATES	Suspected Pollution Source	"LAKE ERIE, Cuyahoga River"	Gasoline: Automotive (Unleaded)	OIL	Petroleum	Gasoline	Automotive (Unleaded)	41.51852	-81.70728	30	Point-source one-time discharge	GALLONS (Liquids Only)
WORK BOAT	Recreational	Recreational	Motor Propelled Vessels	"Yacht, Trawler Type"	UNITED STATES	Acknowledged Pollution Source	BLAINE HARBOR	Oil: Diesel	OIL	Petroleum	Oil	Diesel	48.95401	-122.9292	30	Point-source discharge over a period of time	GALLONS (Liquids Only)
ODYSSEY III	Passenger (Inspected)	Passenger Ship	Excursion/Tour Vessel	"General (More Than 6, Gross Tonnage < 100)"	UNITED STATES	Suspected Pollution Source	ANACOSTIA RIVER	Oil: Diesel	OIL	Petroleum	Oil	Diesel	38.87216667	-76.01916667	30	Point-source one-time discharge	GALLONS (Liquids Only)
STARLITE II	Recreational	Recreational	General	General	UNITED STATES	Acknowledged Pollution Source	SAVANNAH RIVER	Oil: Diesel	OIL	Petroleum	Oil	Diesel	32.09074	-81.02158	30	Point-source one-time discharge	GALLONS (Liquids Only)
KELLE B	Towing Vessel	Towing Vessel	General	General	UNITED STATES	Acknowledged Pollution Source	OHIO RIVER	"Oil, fuel: No. 2-D"	OIL	Petroleum	"Oil, fuel"	No. 2-D	37.9044	-87.50683	30	Point-source one-time discharge	GALLONS (Liquids Only)
COPPER RIVER	Commercial Fishing Vessel	Fishing Vessel	Fish Catching Vessel	Multi-rig	UNITED STATES	Acknowledged Pollution Source	STEPHENS PASSAGE	Oil: Diesel	OIL	Petroleum	Oil	Diesel	58.18417	-134.2078	30	Point-source one-time discharge	GALLONS (Liquids Only)
TX3549XC	Recreational	Recreational	Motor Propelled Vessels	Cabin Cruiser	UNITED STATES	Acknowledged Pollution Source	ARANSAS BAY	"Oil, waste/lubricants - possible contaminant"	OIL	Petroleum	"Oil, waste/lubricants - possible contaminant"		28.00143	-97.02771	30	Point-source discharge over a period of time	GALLONS (Liquids Only)
YOCONA	Towing Vessel	Towing Vessel	General	General	UNITED STATES	Involved in a Marine Casualty	TENNESSEE RIVER	"Oil, waste/lubricants - possible contaminant"	OIL	Petroleum	"Oil, waste/lubricants - possible contaminant"		34.67194333	-87.08694333	30	Point-source one-time discharge	GALLONS (Liquids Only)
WES BORDELON	Offshore Supply Vessel	Offshore	Offshore Supply Vessel	General	UNITED STATES	Acknowledged Pollution Source	MISSISSIPPI SOUND	"Oil, fuel: No. 2-D"	OIL	Petroleum	"Oil, fuel"	No. 2-D	30.25487	-88.50893	30	Point-source discharge over a period of time	GALLONS (Liquids Only)
ARANSAS PILOT II	Industrial Vessel	Miscellaneous Vessel	Pilot Vessel	General	UNITED STATES	Acknowledged Pollution Source	ARANSAS BAY	Oil: Diesel	OIL	Petroleum	Oil	Diesel	28.00143	-97.02771	30	Point-source one-time discharge	GALLONS (Liquids Only)
MEGAN GARRETT	Towing Vessel	Towing Vessel	General	General	UNITED STATES	Involved in a Marine Investigation (non-casualty)	ATLANTIC INTRACOASTAL WATERWAY	Oil: Diesel	OIL	Petroleum	Oil	Diesel	25.905655	-80.128567	30	Point-source one-time discharge	GALLONS (Liquids Only)
GABRIELA MARIE	Recreational	Recreational	Motor Propelled Vessels	Cabin Cruiser	UNITED STATES	Acknowledged Pollution Source	GUANICA HARBOR	Oil: Diesel	OIL	Petroleum	Oil	Diesel	17.98332	-66.91666	30	Point-source one-time discharge	GALLONS (Liquids Only)
CHEOY DEE	Recreational	Recreational	Motor Propelled Vessels	General	UNITED STATES	Acknowledged Pollution Source	COOPER RIVER	Oil: Diesel	OIL	Petroleum	Oil	Diesel	32.75882	-79.86668	30	Point-source one-time discharge	GALLONS (Liquids Only)
LADY MIDNIGHT	Passenger (Inspected)	Passenger Ship	General	"General (More Than 6, Gross Tonnage < 100)"	UNITED STATES	Suspected to be in Violation of Law or Reg	SHEEPSHEAD BAY	"Sewage, raw"	CHEMICAL	Chemical	S	"Sewage, raw"	40.58183	-73.94592	30	Point-source discharge over a period of time	GALLONS (Liquids Only)
STOLT ALLIANCE	Tank Ship	Tank Ship	Chemical Tank Ship	Oil & Chemical Tank Ship	HONG KONG	Acknowledged Pollution Source	HOUSTON SHIP CHANNEL	"Other oil, oil with no CHRIS Code"	OIL	Petroleum	"Other oil, oil with no CHRIS Code"		29.73231333	-95.12787833	30	Point-source one-time discharge	GALLONS (Liquids Only)
SEAGULL 1	Recreational	Recreational	Motor Propelled Vessels	Runabout	UNITED STATES	Acknowledged Pollution Source	VALDEZ HARBOR	Gasoline: Automotive (Unleaded)	OIL	Petroleum	Gasoline	Automotive (Unleaded)	61.12473	-146.3464	30	Point-source one-time discharge	GALLONS (Liquids Only)
MISS EMMA MCCALL	Offshore Supply Vessel	Offshore	Offshore Supply Vessel	General	UNITED STATES	Acknowledged Pollution Source	BAYOU LAFOURCHE	Oil: Diesel	OIL	Petroleum	Oil	Diesel	29.16017	-90.23445	30	Point-source one-time discharge	GALLONS (Liquids Only)
AUDREY FOUTS	Towing Vessel	Towing Vessel	General	General	UNITED STATES	Acknowledged Pollution Source	TENNESSEE RIVER	"Oil, misc: Lubricating"	OIL	Petroleum	"Oil, misc"	Lubricating	35.007892	-88.202636	30	Point-source one-time discharge	GALLONS (Liquids Only)
VA5509YY	Recreational	Recreational	Motor Propelled Vessels	Houseboat	UNITED STATES	Acknowledged Pollution Source	CAPE MAY CANAL	Oil: Diesel	OIL	Petroleum	Oil	Diesel	38.92081	-75.09711	30	Point-source one-time discharge	GALLONS (Liquids Only)
MAAD HUNTER V	Offshore Supply Vessel	Offshore	Offshore Supply Vessel	General	UNITED STATES	Acknowledged Pollution Source	BAYOU LAFOURCHE	Oil: Diesel	OIL	Petroleum	Oil	Diesel	29.16017	-90.23445	30	Point-source one-time discharge	GALLONS (Liquids Only)
UNNAMED FL6320JC	Towing Vessel	Towing Vessel	General	General	UNITED STATES	Acknowledged Pollution Source	ATLANTIC INTRACOASTAL WATERWAY	"Unknown material, Oil or Oil-like"	OIL	Petroleum	"Unknown material, Oil or Oil-like"		27.1656	-80.17993	30	Non-point-source (diffuse) discharge	GALLONS (Liquids Only)
NO NAME	Recreational	Recreational	Motor Propelled Vessels	General	UNITED STATES	Acknowledged Pollution Source	Lake St. Clair	Gasoline: Automotive (Unleaded)	OIL	Petroleum	Gasoline	Automotive (Unleaded)	42.48147667	-82.7295	30	Point-source one-time discharge	GALLONS (Liquids Only)
